Timestamp,Location,Provider,Service_Type,api_calls,clouds,distance_max,distance_mean,distance_min,humidity,price_max,price_mean,price_min,rain,surge_max,surge_mean,surge_min,temp,wind
2018-11-26 06:00:00+00:00,Boston University,Lyft,Lyft XL,8.0,0.9906666666666668,3.07,2.6875000000000004,1.57,0.9133333333333334,27.5,20.5625,16.5,0.0,1.75,1.28125,1.0,40.52133333333334,1.2746666666666664
2018-11-26 07:00:00+00:00,Boston University,Lyft,Lyft XL,7.0,0.975,4.68,3.222857142857143,1.49,0.92,22.5,18.214285714285715,13.5,0.0,1.25,1.0357142857142858,1.0,41.040000000000006,1.6975
2018-11-26 08:00:00+00:00,Boston University,Lyft,Lyft XL,1.0,0.98,3.0,3.0,3.0,0.9233333333333332,22.5,22.5,22.5,0.0,1.5,1.5,1.5,40.836666666666666,1.33
2018-11-26 09:00:00+00:00,Boston University,Lyft,Lyft XL,7.0,1.0,3.76,3.037142857142857,2.65,0.9275,22.5,17.785714285714285,16.5,0.0,1.0,1.0,1.0,40.8925,1.5324999999999998
2018-11-26 10:00:00+00:00,Boston University,Lyft,Lyft XL,4.0,0.995,4.75,3.965,2.98,0.94,22.5,19.5,16.5,0.0,1.0,1.0,1.0,40.635000000000005,1.97
2018-11-26 11:00:00+00:00,Boston University,Lyft,Lyft XL,11.0,0.955,3.49,2.9227272727272724,1.49,0.945,19.5,16.818181818181817,11.0,0.0,1.0,1.0,1.0,40.055,2.13
2018-11-26 12:00:00+00:00,Boston University,Lyft,Lyft XL,13.0,0.935,4.46,2.7761538461538464,1.49,0.945,22.5,16.307692307692307,10.5,0.0,1.5,1.0384615384615383,1.0,40.17,2.825
2018-11-26 13:00:00+00:00,Boston University,Lyft,Lyft XL,13.0,0.91,4.64,3.1238461538461544,1.5,0.915,22.5,17.5,11.0,0.0,1.25,1.0192307692307692,1.0,41.77,3.545
2018-11-26 14:00:00+00:00,Boston University,Lyft,Lyft XL,6.0,0.91,3.45,2.76,2.08,0.91,19.5,16.5,13.5,0.0103,1.0,1.0,1.0,42.55,2.905
2018-11-26 15:00:00+00:00,Boston University,Lyft,Lyft XL,7.0,0.92,4.71,3.531428571428571,1.53,0.905,26.0,18.357142857142858,10.5,0.0,1.0,1.0,1.0,43.495,4.029999999999999
2018-11-26 16:00:00+00:00,Boston University,Lyft,Lyft XL,8.0,0.915,4.66,3.245,1.9,0.88,22.5,17.625,13.5,0.0,1.0,1.0,1.0,44.755,4.91
2018-11-26 17:00:00+00:00,Boston University,Lyft,Lyft XL,8.0,0.99,3.16,2.9525,2.63,0.855,19.5,17.25,16.5,0.0,1.0,1.0,1.0,45.52,6.17
2018-11-26 18:00:00+00:00,Boston University,Lyft,Lyft XL,9.0,0.985,3.53,2.575555555555556,1.5,0.875,22.5,15.944444444444445,11.0,0.0,1.5,1.0555555555555556,1.0,45.28,5.405
2018-11-26 19:00:00+00:00,Boston University,Lyft,Lyft XL,10.0,0.945,3.83,2.898,1.53,0.835,45.5,20.7,11.0,0.0,2.5,1.225,1.0,45.93000000000001,8.379999999999999
2018-11-26 20:00:00+00:00,Boston University,Lyft,Lyft XL,6.0,0.93,4.56,3.2166666666666663,1.53,0.83,22.5,17.083333333333332,11.0,0.0,1.0,1.0,1.0,45.335,8.655
2018-11-26 21:00:00+00:00,Boston University,Lyft,Lyft XL,7.0,0.955,4.33,2.8085714285714287,1.49,0.85,22.5,17.357142857142858,13.5,0.0026,1.0,1.0,1.0,44.685,9.18
