Timestamp,Location,Provider,Service_Type,api_calls,clouds,distance_max,distance_mean,distance_min,humidity,price_max,price_mean,price_min,rain,surge_max,surge_mean,surge_min,temp,wind
2018-11-26 06:00:00+00:00,North Station,Lyft,Lyft XL,8.0,0.9906666666666668,3.32,2.0125,0.73,0.918,19.5,14.0625,10.5,0.0,1.0,1.0,1.0,40.61466666666666,1.396
2018-11-26 07:00:00+00:00,North Station,Lyft,Lyft XL,12.0,0.9575,3.29,1.9791666666666667,0.62,0.925,19.5,13.875,9.0,0.0,1.0,1.0,1.0,41.1575,1.8775
2018-11-26 08:00:00+00:00,North Station,Lyft,Lyft XL,4.0,0.98,3.35,1.635,0.71,0.9233333333333332,16.5,12.875,10.5,0.0,1.0,1.0,1.0,40.903333333333336,1.3766666666666667
2018-11-26 09:00:00+00:00,North Station,Lyft,Lyft XL,10.0,1.0,3.36,2.065,1.02,0.9275,19.5,14.75,10.5,0.0,1.25,1.025,1.0,40.8825,1.355
2018-11-26 10:00:00+00:00,North Station,Lyft,Lyft XL,13.0,0.995,3.3,2.297692307692308,1.04,0.94,19.5,14.884615384615383,10.5,0.0,1.25,1.0384615384615383,1.0,40.665,1.96
2018-11-26 11:00:00+00:00,North Station,Lyft,Lyft XL,12.0,0.955,3.32,2.1266666666666665,0.74,0.94,19.5,14.25,10.5,0.0,1.0,1.0,1.0,40.2,2.385
2018-11-26 12:00:00+00:00,North Station,Lyft,Lyft XL,9.0,0.94,3.31,2.488888888888889,0.74,0.94,19.5,15.555555555555555,10.5,0.0,1.0,1.0,1.0,40.28,2.915
2018-11-26 13:00:00+00:00,North Station,Lyft,Lyft XL,9.0,0.91,3.35,2.69,0.71,0.915,19.5,16.055555555555557,9.0,0.0046,1.0,1.0,1.0,41.975,3.61
2018-11-26 14:00:00+00:00,North Station,Lyft,Lyft XL,14.0,0.905,3.36,2.845,1.03,0.905,22.5,16.321428571428573,10.5,0.0035,1.0,1.0,1.0,42.82,3.02
2018-11-26 15:00:00+00:00,North Station,Lyft,Lyft XL,11.0,0.93,3.31,2.0336363636363632,0.72,0.895,19.5,14.681818181818182,10.5,0.0,1.0,1.0,1.0,43.85,4.225
2018-11-26 16:00:00+00:00,North Station,Lyft,Lyft XL,17.0,0.92,3.37,2.5105882352941182,0.73,0.865,19.5,15.323529411764708,10.5,0.0,1.0,1.0,1.0,45.025,5.105
2018-11-26 17:00:00+00:00,North Station,Lyft,Lyft XL,15.0,0.99,3.35,2.3360000000000003,0.73,0.86,16.5,14.266666666666667,9.0,0.0,1.25,1.0166666666666666,1.0,45.485,6.34
2018-11-26 18:00:00+00:00,North Station,Lyft,Lyft XL,8.0,0.98,3.35,2.3312500000000003,0.62,0.88,26.0,16.375,9.0,0.0,1.75,1.15625,1.0,45.06,5.16
2018-11-26 19:00:00+00:00,North Station,Lyft,Lyft XL,14.0,0.94,3.36,2.057857142857143,0.7,0.835,19.5,14.178571428571429,10.5,0.0,1.0,1.0,1.0,45.795,8.309999999999999
2018-11-26 20:00:00+00:00,North Station,Lyft,Lyft XL,4.0,0.93,3.36,2.34,0.73,0.835,16.5,14.375,11.0,0.0,1.0,1.0,1.0,45.08,8.785
2018-11-26 21:00:00+00:00,North Station,Lyft,Lyft XL,3.0,0.96,2.11,1.643333333333333,0.73,0.855,13.5,12.666666666666666,11.0,0.00015,1.0,1.0,1.0,44.62,9.335
2018-11-26 22:00:00+00:00,North Station,Lyft,Lyft XL,13.0,0.98,3.31,2.78,1.61,0.874,19.5,16.73076923076923,13.5,0.0283399999999999,1.5,1.0576923076923077,1.0,44.674,8.848
2018-11-26 23:00:00+00:00,North Station,Lyft,Lyft XL,16.0,0.98,3.31,1.831875,0.72,0.88,19.5,13.28125,9.0,0.07295,1.0,1.0,1.0,44.405,9.655
2018-11-27 00:00:00+00:00,North Station,Lyft,Lyft XL,22.0,0.9812500000000002,3.36,2.536818181818182,0.64,0.9087500000000002,19.5,15.386363636363637,9.0,0.150525,1.0,1.0,1.0,43.85625,10.3975
2018-11-27 01:00:00+00:00,North Station,Lyft,Lyft XL,19.0,0.99,3.31,2.3142105263157893,0.72,0.9,19.5,15.105263157894736,10.5,0.335275,1.0,1.0,1.0,44.0975,11.7725
2018-11-27 02:00:00+00:00,North Station,Lyft,Lyft XL,16.0,0.995,3.32,2.445625,0.84,0.9,19.5,15.34375,9.0,0.11775,1.0,1.0,1.0,44.02,12.58
2018-11-27 03:00:00+00:00,North Station,Lyft,Lyft XL,14.0,0.995,3.27,2.4400000000000004,0.74,0.895,22.5,15.5,10.5,0.20185,1.25,1.0178571428571428,1.0,44.215,13.05
