Timestamp,Location,Provider,Service_Type,api_calls,clouds,distance_max,distance_mean,distance_min,humidity,price_max,price_mean,price_min,rain,surge_max,surge_mean,surge_min,temp,wind
2018-11-26 06:00:00+00:00,Beacon Hill,Lyft,Lux Black,9.0,0.9906666666666668,2.53,2.053333333333333,1.37,0.9133333333333334,30.0,22.33333333333333,16.5,0.0,1.5,1.0833333333333333,1.0,40.62533333333335,1.3766666666666671
2018-11-26 07:00:00+00:00,Beacon Hill,Lyft,Lux Black,5.0,0.9575,2.36,1.994,1.39,0.925,22.5,20.1,16.5,0.0,1.0,1.0,1.0,41.1675,1.8725
2018-11-26 08:00:00+00:00,Beacon Hill,Lyft,Lux Black,3.0,0.98,2.35,2.053333333333333,1.49,0.9233333333333332,22.5,21.5,19.5,0.0,1.0,1.0,1.0,40.91666666666666,1.3533333333333333
2018-11-26 09:00:00+00:00,Beacon Hill,Lyft,Lux Black,10.0,1.0,2.53,1.718,1.28,0.9275,32.5,20.8,16.5,0.0,2.0,1.1,1.0,40.905,1.35
2018-11-26 10:00:00+00:00,Beacon Hill,Lyft,Lux Black,13.0,0.995,2.52,2.026923076923077,1.37,0.94,30.0,21.846153846153847,16.5,0.0,1.25,1.0384615384615383,1.0,40.650000000000006,1.93
2018-11-26 11:00:00+00:00,Beacon Hill,Lyft,Lux Black,12.0,0.955,2.57,2.095,1.38,0.945,26.0,21.541666666666668,16.5,0.0,1.25,1.0208333333333333,1.0,40.145,2.335
2018-11-26 12:00:00+00:00,Beacon Hill,Lyft,Lux Black,11.0,0.94,2.42,1.9790909090909088,1.35,0.945,34.0,21.63636363636364,16.5,0.0,1.5,1.0454545454545454,1.0,40.255,2.89
2018-11-26 13:00:00+00:00,Beacon Hill,Lyft,Lux Black,11.0,0.91,2.47,2.104545454545455,1.37,0.915,45.5,22.954545454545453,16.5,0.00265,2.0,1.0909090909090908,1.0,41.945,3.58
2018-11-26 14:00:00+00:00,Beacon Hill,Lyft,Lux Black,7.0,0.905,2.38,2.037142857142857,1.54,0.91,27.5,22.857142857142858,16.5,0.0035,1.25,1.1071428571428572,1.0,42.76,2.995
2018-11-26 15:00:00+00:00,Beacon Hill,Lyft,Lux Black,7.0,0.93,2.5,2.174285714285714,1.74,0.9,34.0,23.285714285714285,19.5,0.0,1.75,1.1071428571428572,1.0,43.695,4.195
2018-11-26 16:00:00+00:00,Beacon Hill,Lyft,Lux Black,7.0,0.92,2.5,1.9700000000000004,1.3,0.875,26.0,20.857142857142858,16.5,0.0,1.0,1.0,1.0,44.81,5.074999999999999
2018-11-26 17:00:00+00:00,Beacon Hill,Lyft,Lux Black,11.0,0.99,2.51,1.9581818181818185,1.28,0.86,26.0,21.454545454545453,19.5,0.0,1.25,1.0227272727272727,1.0,45.43,6.3100000000000005
2018-11-26 18:00:00+00:00,Beacon Hill,Lyft,Lux Black,5.0,0.98,2.5,2.2,1.37,0.88,22.5,21.3,16.5,0.0,1.0,1.0,1.0,45.08,5.205
2018-11-26 19:00:00+00:00,Beacon Hill,Lyft,Lux Black,11.0,0.94,2.46,1.9763636363636363,1.34,0.835,22.5,20.863636363636363,16.5,0.0,1.0,1.0,1.0,45.855,8.325
2018-11-26 20:00:00+00:00,Beacon Hill,Lyft,Lux Black,14.0,0.93,2.47,2.007142857142857,1.32,0.83,27.5,21.785714285714285,16.5,0.0,1.25,1.0535714285714286,1.0,45.275,8.76
2018-11-26 21:00:00+00:00,Beacon Hill,Lyft,Lux Black,17.0,0.955,2.49,1.917058823529412,1.3,0.855,22.5,20.91176470588235,16.5,0.0016,1.25,1.0147058823529411,1.0,44.695,9.33
2018-11-26 22:00:00+00:00,Beacon Hill,Lyft,Lux Black,8.0,0.98,2.5,2.2575000000000003,1.53,0.874,26.0,22.1875,19.5,0.0218,1.0,1.0,1.0,44.67,8.844
2018-11-26 23:00:00+00:00,Beacon Hill,Lyft,Lux Black,22.0,0.98,2.52,2.2163636363636368,1.33,0.885,27.5,21.5,16.5,0.08115,1.25,1.0113636363636365,1.0,44.39,9.62
2018-11-27 00:00:00+00:00,Beacon Hill,Lyft,Lux Black,20.0,0.9812500000000002,2.5,2.1575,1.34,0.905,26.0,21.925,16.5,0.1480874999999999,1.25,1.0125,1.0,43.8775,10.322499999999998
2018-11-27 01:00:00+00:00,Beacon Hill,Lyft,Lux Black,13.0,0.9925,2.49,2.203846153846154,1.35,0.9,22.5,21.57692307692308,16.5,0.3087249999999999,1.0,1.0,1.0,44.1425,11.725
2018-11-27 02:00:00+00:00,Beacon Hill,Lyft,Lux Black,18.0,0.995,2.52,2.0444444444444443,1.35,0.895,38.5,23.05555555555556,16.5,0.13485,2.0,1.0972222222222223,1.0,44.05,12.535
2018-11-27 03:00:00+00:00,Beacon Hill,Lyft,Lux Black,29.0,0.995,2.56,2.1596551724137933,1.31,0.895,42.5,23.06896551724138,16.5,0.20165,2.0,1.0775862068965518,1.0,44.22,12.96
2018-11-27 04:00:00+00:00,Beacon Hill,Lyft,Lux Black,16.0,1.0,2.52,1.9718750000000005,1.34,0.9,38.5,23.4375,16.5,0.0477999999999999,1.75,1.140625,1.0,44.085,13.81
2018-11-27 05:00:00+00:00,Beacon Hill,Lyft,Lux Black,21.0,1.0,2.51,1.955238095238096,1.35,0.8933333333333334,22.5,19.928571428571427,16.5,0.0320333333333333,1.25,1.011904761904762,1.0,44.17666666666667,14.226666666666668
2018-11-27 06:00:00+00:00,Beacon Hill,Lyft,Lux Black,22.0,1.0,2.52,2.0022727272727274,1.24,0.91,30.0,21.363636363636363,16.5,0.01935,1.25,1.0227272727272727,1.0,44.245000000000005,12.27
2018-11-27 07:00:00+00:00,Beacon Hill,Lyft,Lux Black,27.0,1.0,2.53,2.162222222222222,1.39,0.91,27.5,21.703703703703702,16.5,0.01385,1.25,1.0185185185185186,1.0,43.760000000000005,11.655
2018-11-27 08:00:00+00:00,Beacon Hill,Lyft,Lux Black,18.0,1.0,2.59,1.9072222222222224,1.32,0.925,27.5,20.27777777777778,16.5,0.0085,1.25,1.0138888888888888,1.0,43.875,10.645
