Timestamp,Location,Provider,Service_Type,api_calls,clouds,distance_max,distance_mean,distance_min,humidity,price_max,price_mean,price_min,rain,surge_max,surge_mean,surge_min,temp,wind
2018-11-26 06:00:00+00:00,South Station,Lyft,Shared,17.0,0.9906666666666668,3.31,1.559411764705882,0.57,0.888,10.5,5.411764705882353,2.5,0.0,1.0,1.0,1.0,41.636,1.4266666666666663
2018-11-26 07:00:00+00:00,South Station,Lyft,Shared,1.0,0.955,2.31,2.31,2.31,0.8925000000000001,7.0,7.0,7.0,0.0,1.0,1.0,1.0,42.3,1.8975
2018-11-26 08:00:00+00:00,South Station,Lyft,Shared,3.0,0.98,1.69,1.16,0.61,0.89,5.0,4.333333333333333,3.0,0.0,1.0,1.0,1.0,42.03666666666667,1.33
2018-11-26 09:00:00+00:00,South Station,Lyft,Shared,8.0,1.0,2.58,1.40625,0.67,0.8975,7.0,4.25,3.0,0.0,1.0,1.0,1.0,41.8975,1.2075
2018-11-26 10:00:00+00:00,South Station,Lyft,Shared,5.0,0.995,3.26,1.566,0.63,0.94,10.5,5.7,3.0,0.0,1.0,1.0,1.0,40.56,1.865
2018-11-26 11:00:00+00:00,South Station,Lyft,Shared,9.0,0.955,2.44,1.5044444444444445,0.58,0.97,7.0,5.555555555555555,3.5,0.0,1.0,1.0,1.0,38.73,2.4
2018-11-26 12:00:00+00:00,South Station,Lyft,Shared,12.0,0.94,2.44,1.7541666666666669,0.55,0.89,7.0,6.0,3.0,0.0,1.0,1.0,1.0,41.755,2.895
2018-11-26 13:00:00+00:00,South Station,Lyft,Shared,10.0,0.905,3.3,1.6920000000000002,0.57,0.91,9.0,5.8,3.0,0.00375,1.0,1.0,1.0,41.985,3.555
2018-11-26 14:00:00+00:00,South Station,Lyft,Shared,6.0,0.905,3.3,1.9266666666666667,0.56,0.915,7.0,5.75,3.5,0.00255,1.0,1.0,1.0,42.64,3.015
2018-11-26 15:00:00+00:00,South Station,Lyft,Shared,8.0,0.93,2.54,1.75625,0.52,0.895,7.0,4.625,3.0,0.0,1.0,1.0,1.0,43.915,4.27
