Timestamp,Location,Provider,Service_Type,api_calls,clouds,distance_max,distance_mean,distance_min,humidity,price_max,price_mean,price_min,rain,surge_max,surge_mean,surge_min,temp,wind
2018-11-26 06:00:00+00:00,Theatre District,Lyft,Shared,9.0,0.9906666666666668,4.45,1.887777777777778,0.58,0.92,9.0,5.277777777777778,3.0,0.0,1.0,1.0,1.0,40.57599999999999,1.3993333333333338
2018-11-26 07:00:00+00:00,Theatre District,Lyft,Shared,8.0,0.9575,4.79,2.3825000000000003,0.62,0.93,13.5,6.5625,3.0,0.0,1.0,1.0,1.0,41.1225,1.8875
2018-11-26 08:00:00+00:00,Theatre District,Lyft,Shared,1.0,0.98,1.74,1.74,1.74,0.9333333333333336,7.0,7.0,7.0,0.0,1.0,1.0,1.0,40.85,1.33
2018-11-26 09:00:00+00:00,Theatre District,Lyft,Shared,8.0,1.0,4.73,2.6325000000000003,1.72,0.93,10.5,6.75,3.0,0.0,1.0,1.0,1.0,40.870000000000005,1.265
2018-11-26 10:00:00+00:00,Theatre District,Lyft,Shared,8.0,0.995,3.19,2.2150000000000003,0.62,0.94,9.0,6.75,3.0,0.0,1.0,1.0,1.0,40.7,1.875
2018-11-26 11:00:00+00:00,Theatre District,Lyft,Shared,10.0,0.955,4.76,3.051,1.78,0.94,10.5,7.55,7.0,0.0,1.0,1.0,1.0,40.235,2.355
2018-11-26 12:00:00+00:00,Theatre District,Lyft,Shared,13.0,0.94,3.21,2.2292307692307687,0.58,0.94,9.0,6.269230769230769,3.5,0.0,1.0,1.0,1.0,40.305,2.88
2018-11-26 13:00:00+00:00,Theatre District,Lyft,Shared,7.0,0.905,3.1,1.9514285714285715,0.68,0.915,9.0,6.142857142857143,3.0,0.00315,1.0,1.0,1.0,41.95,3.555
2018-11-26 14:00:00+00:00,Theatre District,Lyft,Shared,15.0,0.905,4.76,2.1093333333333333,0.59,0.91,9.0,6.1,3.0,0.003,1.0,1.0,1.0,42.785,2.995
2018-11-26 15:00:00+00:00,Theatre District,Lyft,Shared,7.0,0.93,4.63,3.148571428571429,1.76,0.895,10.5,7.071428571428571,3.5,0.0,1.0,1.0,1.0,43.89,4.225
2018-11-26 16:00:00+00:00,Theatre District,Lyft,Shared,4.0,0.92,3.2,2.6875,2.14,0.865,9.0,7.5,7.0,0.0,1.0,1.0,1.0,45.150000000000006,5.13
2018-11-26 17:00:00+00:00,Theatre District,Lyft,Shared,10.0,0.99,4.97,2.188,0.64,0.85,7.0,5.65,3.0,0.0,1.0,1.0,1.0,45.57,6.345000000000001
2018-11-26 18:00:00+00:00,Theatre District,Lyft,Shared,18.0,0.985,3.18,1.8649999999999995,0.58,0.88,9.0,5.638888888888889,3.0,0.0,1.0,1.0,1.0,45.09,5.175
2018-11-26 19:00:00+00:00,Theatre District,Lyft,Shared,9.0,0.94,5.02,2.882222222222222,0.61,0.84,11.0,7.388888888888889,3.0,0.0,1.0,1.0,1.0,45.74,8.32
2018-11-26 20:00:00+00:00,Theatre District,Lyft,Shared,5.0,0.93,3.14,2.354,1.73,0.84,7.0,5.9,3.5,0.0,1.0,1.0,1.0,44.96,8.785
2018-11-26 21:00:00+00:00,Theatre District,Lyft,Shared,15.0,0.955,4.79,2.553333333333333,0.55,0.855,10.5,6.666666666666667,3.0,0.0015,1.0,1.0,1.0,44.54,9.39
2018-11-26 22:00:00+00:00,Theatre District,Lyft,Shared,17.0,0.98,4.74,2.4717647058823533,0.62,0.874,10.5,7.088235294117647,3.0,0.01808,1.0,1.0,1.0,44.64,8.907999999999998
