Timestamp,Location,Provider,Service_Type,api_calls,clouds,distance_max,distance_mean,distance_min,humidity,price_max,price_mean,price_min,rain,surge_max,surge_mean,surge_min,temp,wind
2018-11-26 06:00:00+00:00,Boston University,Uber,Black SUV,11.0,0.9906666666666668,3.39,2.868181818181818,1.56,0.9133333333333334,39.0,32.86363636363637,25.0,0.0,1.0,1.0,1.0,40.52133333333334,1.2746666666666664
2018-11-26 07:00:00+00:00,Boston University,Uber,Black SUV,4.0,0.975,4.74,3.3875,2.79,0.92,40.5,34.875,31.5,0.0,1.0,1.0,1.0,41.040000000000006,1.6975
2018-11-26 08:00:00+00:00,Boston University,Uber,Black SUV,,,,,,,40.5,34.0375,28.25,,,,,,
2018-11-26 09:00:00+00:00,Boston University,Uber,Black SUV,10.0,1.0,3.96,2.815,1.56,0.9275,40.5,33.2,25.0,0.0,1.0,1.0,1.0,40.8925,1.5324999999999998
2018-11-26 10:00:00+00:00,Boston University,Uber,Black SUV,6.0,0.995,4.72,3.371666666666666,2.4,0.94,42.5,36.0,31.5,0.0,1.0,1.0,1.0,40.635000000000005,1.97
2018-11-26 11:00:00+00:00,Boston University,Uber,Black SUV,9.0,0.955,4.72,3.0288888888888885,1.56,0.945,42.0,33.388888888888886,25.0,0.0,1.0,1.0,1.0,40.055,2.13
2018-11-26 12:00:00+00:00,Boston University,Uber,Black SUV,9.0,0.935,4.72,3.057777777777777,1.56,0.945,42.5,33.611111111111114,26.0,0.0,1.0,1.0,1.0,40.17,2.825
2018-11-26 13:00:00+00:00,Boston University,Uber,Black SUV,10.0,0.91,4.72,3.403999999999999,1.56,0.915,47.0,36.3,26.0,0.0,1.0,1.0,1.0,41.77,3.545
2018-11-26 14:00:00+00:00,Boston University,Uber,Black SUV,9.0,0.91,4.72,2.942222222222222,1.56,0.91,39.5,32.72222222222222,26.0,0.0103,1.0,1.0,1.0,42.55,2.905
2018-11-26 15:00:00+00:00,Boston University,Uber,Black SUV,12.0,0.92,5.1,2.9225,1.51,0.905,43.5,33.5,25.0,0.0,1.0,1.0,1.0,43.495,4.029999999999999
2018-11-26 16:00:00+00:00,Boston University,Uber,Black SUV,14.0,0.915,4.72,3.1864285714285714,1.56,0.88,42.5,34.892857142857146,26.5,0.0,1.0,1.0,1.0,44.755,4.91
2018-11-26 17:00:00+00:00,Boston University,Uber,Black SUV,14.0,0.99,4.72,3.085,1.51,0.855,46.0,33.607142857142854,25.0,0.0,1.0,1.0,1.0,45.52,6.17
2018-11-26 18:00:00+00:00,Boston University,Uber,Black SUV,8.0,0.985,4.74,3.5575,2.79,0.875,40.5,35.375,33.0,0.0,1.0,1.0,1.0,45.28,5.405
2018-11-26 19:00:00+00:00,Boston University,Uber,Black SUV,15.0,0.945,4.74,2.934,1.56,0.835,40.5,32.9,26.0,0.0,1.0,1.0,1.0,45.93000000000001,8.379999999999999
2018-11-26 20:00:00+00:00,Boston University,Uber,Black SUV,11.0,0.93,4.74,3.1118181818181823,1.56,0.83,44.0,34.13636363636363,27.5,0.0,1.0,1.0,1.0,45.335,8.655
2018-11-26 21:00:00+00:00,Boston University,Uber,Black SUV,7.0,0.955,4.72,3.1299999999999994,2.79,0.85,38.5,32.642857142857146,29.5,0.0026,1.0,1.0,1.0,44.685,9.18
2018-11-26 22:00:00+00:00,Boston University,Uber,Black SUV,21.0,0.978,4.72,2.9652380952380946,0.17,0.876,46.0,34.11904761904762,25.0,0.01518,1.0,1.0,1.0,44.598,8.71
2018-11-26 23:00:00+00:00,Boston University,Uber,Black SUV,26.0,0.98,4.72,2.9034615384615376,1.56,0.885,43.5,33.23076923076923,25.0,0.1038,1.0,1.0,1.0,44.395,9.39
2018-11-27 00:00:00+00:00,Boston University,Uber,Black SUV,31.0,0.98625,4.74,3.2383870967741943,1.56,0.905,48.0,34.03225806451613,25.0,0.14525,1.0,1.0,1.0,43.9225,10.0275
2018-11-27 01:00:00+00:00,Boston University,Uber,Black SUV,20.0,0.9925,4.04,2.9294999999999995,1.56,0.9,42.5,32.975,26.0,0.237325,1.0,1.0,1.0,44.11,11.5275
2018-11-27 02:00:00+00:00,Boston University,Uber,Black SUV,24.0,0.995,4.76,2.887916666666667,1.56,0.895,43.0,32.583333333333336,25.0,0.14035,1.0,1.0,1.0,44.045,12.25
2018-11-27 03:00:00+00:00,Boston University,Uber,Black SUV,20.0,0.995,4.72,3.029,1.56,0.895,43.0,33.175,26.0,0.2023499999999999,1.0,1.0,1.0,44.235,12.51
2018-11-27 04:00:00+00:00,Boston University,Uber,Black SUV,25.0,1.0,4.72,2.8196000000000003,1.56,0.9,41.5,32.46,25.0,0.0675,1.0,1.0,1.0,44.120000000000005,13.495
2018-11-27 05:00:00+00:00,Boston University,Uber,Black SUV,24.0,1.0,4.72,2.8825000000000003,0.03,0.89,46.0,33.5,26.5,0.0219666666666666,1.0,1.0,1.0,44.26333333333333,13.97
2018-11-27 06:00:00+00:00,Boston University,Uber,Black SUV,17.0,1.0,4.74,3.0376470588235294,0.03,0.91,45.0,33.8235294117647,27.5,0.01585,1.0,1.0,1.0,44.315,12.075
2018-11-27 07:00:00+00:00,Boston University,Uber,Black SUV,18.0,1.0,4.96,2.91,1.51,0.91,45.0,33.5,25.0,0.01315,1.0,1.0,1.0,43.78,11.4
2018-11-27 08:00:00+00:00,Boston University,Uber,Black SUV,25.0,1.0,4.72,3.1828,1.51,0.925,44.5,34.62,25.0,0.016,1.0,1.0,1.0,43.885,10.42
2018-11-27 09:00:00+00:00,Boston University,Uber,Black SUV,29.0,1.0,4.72,2.826206896551725,1.51,0.95,44.0,32.5,25.0,0.0167,1.0,1.0,1.0,44.325,9.145
2018-11-27 10:00:00+00:00,Boston University,Uber,Black SUV,25.0,0.99,4.74,3.015200000000001,1.56,0.965,44.0,33.52,26.5,0.0165,1.0,1.0,1.0,44.695,5.744999999999999
2018-11-27 11:00:00+00:00,Boston University,Uber,Black SUV,18.0,0.975,4.72,3.125,1.56,0.965,40.5,34.22222222222222,25.0,0.001,1.0,1.0,1.0,44.705,3.0700000000000003
2018-11-27 12:00:00+00:00,Boston University,Uber,Black SUV,15.0,0.985,4.72,3.183333333333332,1.56,0.93,46.0,34.5,26.0,0.0,1.0,1.0,1.0,45.06,2.82
2018-11-27 13:00:00+00:00,Boston University,Uber,Black SUV,16.0,0.955,4.72,2.734375,1.56,0.91,42.0,32.0,25.0,0.0,1.0,1.0,1.0,44.665000000000006,5.365
2018-11-27 14:00:00+00:00,Boston University,Uber,Black SUV,23.0,0.945,4.62,2.9017391304347826,1.56,0.89,43.0,33.32608695652174,26.0,0.0,1.0,1.0,1.0,43.695,10.835
2018-11-27 15:00:00+00:00,Boston University,Uber,Black SUV,28.0,0.995,4.76,2.8500000000000005,1.51,0.875,46.0,33.5,25.0,0.00165,1.0,1.0,1.0,41.03,10.515
2018-11-27 16:00:00+00:00,Boston University,Uber,Black SUV,22.0,0.955,4.48,2.794545454545455,1.51,0.83,46.0,32.5,25.0,0.0,1.0,1.0,1.0,41.18000000000001,11.11
2018-11-27 17:00:00+00:00,Boston University,Uber,Black SUV,30.0,0.915,4.74,2.942666666666667,1.51,0.795,45.0,33.15,25.0,0.0,1.0,1.0,1.0,41.265,10.635
2018-11-27 18:00:00+00:00,Boston University,Uber,Black SUV,19.0,0.8300000000000001,4.72,2.930526315789473,0.17,0.76,44.0,33.44736842105263,25.0,0.0,1.0,1.0,1.0,41.540000000000006,11.61
2018-11-27 19:00:00+00:00,Boston University,Uber,Black SUV,22.0,0.8,4.74,3.2286363636363644,1.17,0.725,45.0,34.72727272727273,25.0,0.0,1.0,1.0,1.0,42.67,9.325
2018-11-27 20:00:00+00:00,Boston University,Uber,Black SUV,19.0,0.6799999999999999,4.76,3.431052631578947,2.79,0.71,42.0,35.18421052631579,29.5,0.00115,1.0,1.0,1.0,43.07,8.43
2018-11-27 21:00:00+00:00,Boston University,Uber,Black SUV,16.0,0.6000000000000001,4.72,3.091875,0.03,0.705,42.5,34.46875,26.0,0.0,1.0,1.0,1.0,42.005,9.145
2018-11-27 22:00:00+00:00,Boston University,Uber,Black SUV,26.0,0.505,4.72,3.253461538461539,1.51,0.715,43.5,35.05769230769231,25.0,0.0,1.0,1.0,1.0,40.905,10.43
2018-11-27 23:00:00+00:00,Boston University,Uber,Black SUV,22.0,0.195,4.72,2.719090909090909,1.51,0.715,41.5,32.29545454545455,25.0,0.0,1.0,1.0,1.0,39.595,8.405000000000001
2018-11-28 00:00:00+00:00,Boston University,Uber,Black SUV,7.0,0.09,4.74,3.377142857142857,1.56,0.72,45.0,35.714285714285715,26.5,0.0,1.0,1.0,1.0,39.075,8.015
2018-11-28 01:00:00+00:00,Boston University,Uber,Black SUV,3.0,,3.39,2.1533333333333333,1.51,,37.0,29.5,25.0,,1.0,1.0,1.0,,
2018-11-28 02:00:00+00:00,Boston University,Uber,Black SUV,,,,,,,36.75,30.194444444444443,26.083333333333332,,,,,,
2018-11-28 03:00:00+00:00,Boston University,Uber,Black SUV,,,,,,,36.5,30.88888888888889,27.166666666666668,,,,,,
2018-11-28 04:00:00+00:00,Boston University,Uber,Black SUV,,,,,,,36.25,31.583333333333332,28.25,,,,,,
2018-11-28 05:00:00+00:00,Boston University,Uber,Black SUV,,,,,,,36.0,32.27777777777778,29.333333333333332,,,,,,
2018-11-28 06:00:00+00:00,Boston University,Uber,Black SUV,,,,,,,35.75,32.97222222222222,30.416666666666664,,,,,,
2018-11-28 07:00:00+00:00,Boston University,Uber,Black SUV,3.0,0.2538461538461538,3.05,3.0033333333333334,2.98,0.7946153846153845,35.5,33.666666666666664,31.5,0.0,1.0,1.0,1.0,34.940769230769234,6.18923076923077
2018-11-28 08:00:00+00:00,Boston University,Uber,Black SUV,2.0,0.52,3.39,3.215,3.04,0.8000000000000002,36.0,34.25,32.5,0.0,1.0,1.0,1.0,34.53999999999999,5.493333333333333
2018-11-28 09:00:00+00:00,Boston University,Uber,Black SUV,25.0,0.3399999999999999,4.76,3.0612,1.56,0.8275,45.0,33.32,25.0,0.0,1.0,1.0,1.0,33.63250000000001,6.0175
2018-11-28 10:00:00+00:00,Boston University,Uber,Black SUV,29.0,0.1433333333333333,4.74,2.911379310344828,0.03,0.8250000000000001,43.5,33.5,26.5,0.0,1.0,1.0,1.0,33.48499999999999,5.62
2018-11-28 11:00:00+00:00,Boston University,Uber,Black SUV,29.0,0.3866666666666667,7.25,3.467586206896552,1.56,0.83,57.5,35.758620689655174,27.5,0.0,1.0,1.0,1.0,32.95333333333334,6.4366666666666665
2018-11-28 12:00:00+00:00,Boston University,Uber,Black SUV,38.0,0.7833333333333333,4.72,2.8500000000000005,1.56,0.7466666666666667,45.0,33.3421052631579,25.0,0.0,1.0,1.0,1.0,35.01,6.77
2018-11-28 13:00:00+00:00,Boston University,Uber,Black SUV,31.0,0.6033333333333334,7.25,3.2454838709677434,1.56,0.6966666666666667,54.5,34.20967741935484,25.0,0.0,1.0,1.0,1.0,37.27,6.293333333333333
2018-11-28 14:00:00+00:00,Boston University,Uber,Black SUV,37.0,0.4666666666666666,4.74,3.0494594594594604,1.51,0.67,46.0,33.87837837837838,25.0,0.0,1.0,1.0,1.0,38.54,11.483333333333333
2018-11-28 15:00:00+00:00,Boston University,Uber,Black SUV,33.0,0.2966666666666667,4.72,2.985757575757577,1.51,0.6533333333333333,40.5,33.166666666666664,25.0,0.0,1.0,1.0,1.0,39.553333333333335,9.19
2018-11-28 16:00:00+00:00,Boston University,Uber,Black SUV,33.0,0.6333333333333333,4.74,3.184848484848485,1.56,0.6266666666666666,45.0,34.484848484848484,25.0,0.0,1.0,1.0,1.0,41.01666666666667,10.086666666666668
2018-11-28 17:00:00+00:00,Boston University,Uber,Black SUV,30.0,0.89,4.74,3.373,1.56,0.63,45.0,34.983333333333334,25.0,0.0006666666666666,1.0,1.0,1.0,41.34333333333333,9.446666666666667
2018-11-28 18:00:00+00:00,Boston University,Uber,Black SUV,35.0,0.9633333333333332,4.72,2.814285714285715,1.51,0.6333333333333333,44.5,32.42857142857143,25.0,0.001,1.0,1.0,1.0,41.23666666666667,9.78
2018-11-28 19:00:00+00:00,Boston University,Uber,Black SUV,26.0,1.0,7.25,3.254615384615385,0.03,0.6466666666666666,53.0,34.86538461538461,25.0,0.0,1.0,1.0,1.0,40.95,9.513333333333334
2018-11-28 20:00:00+00:00,Boston University,Uber,Black SUV,20.0,0.9866666666666668,5.16,3.0705,1.56,0.64,43.0,34.075,25.0,0.0,1.0,1.0,1.0,41.25666666666667,9.516666666666667
2018-11-28 21:00:00+00:00,Boston University,Uber,Black SUV,22.0,0.875,4.76,2.9968181818181816,1.17,0.64,47.5,33.72727272727273,25.5,0.0,1.0,1.0,1.0,40.68750000000001,9.13
2018-11-28 22:00:00+00:00,Boston University,Uber,Black SUV,32.0,0.8666666666666667,4.72,3.081250000000001,1.56,0.64,44.0,33.796875,26.0,0.0,1.0,1.0,1.0,40.236666666666665,9.576666666666666
2018-11-28 23:00:00+00:00,Boston University,Uber,Black SUV,40.0,0.8683333333333335,4.72,2.800250000000001,0.03,0.6566666666666667,44.0,32.2125,25.0,0.0,1.0,1.0,1.0,39.52333333333333,10.331666666666669
