Timestamp,Location,Provider,Service_Type,api_calls,clouds,distance_max,distance_mean,distance_min,humidity,price_max,price_mean,price_min,rain,surge_max,surge_mean,surge_min,temp,wind
2018-11-26 06:00:00+00:00,Fenway,Lyft,Lux Black XL,6.0,0.9906666666666668,3.22,2.49,1.45,0.92,45.5,34.666666666666664,26.0,0.0,1.25,1.0416666666666667,1.0,40.44466666666666,1.2933333333333334
2018-11-26 07:00:00+00:00,Fenway,Lyft,Lux Black XL,5.0,0.9725,4.45,2.548,1.48,0.9275,45.5,35.9,26.0,0.0,1.25,1.1,1.0,40.99,1.7075
2018-11-26 08:00:00+00:00,Fenway,Lyft,Lux Black XL,2.0,0.9866666666666668,3.22,2.335,1.45,0.9333333333333336,65.0,45.5,26.0,0.0,2.0,1.5,1.0,40.723333333333336,1.3133333333333332
2018-11-26 09:00:00+00:00,Fenway,Lyft,Lux Black XL,8.0,1.0,3.27,2.715,1.45,0.9325,42.5,34.1875,26.0,0.0,1.25,1.03125,1.0,40.7825,1.455
2018-11-26 10:00:00+00:00,Fenway,Lyft,Lux Black XL,12.0,0.995,5.86,2.745000000000001,1.43,0.94,52.5,34.125,26.0,0.0,1.25,1.0416666666666667,1.0,40.61,1.9
2018-11-26 11:00:00+00:00,Fenway,Lyft,Lux Black XL,9.0,0.955,3.26,2.578888888888889,1.48,0.945,47.5,33.166666666666664,26.0,0.0,1.25,1.0555555555555556,1.0,40.12,2.14
2018-11-26 12:00:00+00:00,Fenway,Lyft,Lux Black XL,9.0,0.94,4.06,2.717777777777778,1.46,0.945,73.5,37.333333333333336,26.0,0.0,2.0,1.1111111111111112,1.0,40.22,2.8150000000000004
2018-11-26 13:00:00+00:00,Fenway,Lyft,Lux Black XL,11.0,0.91,4.32,2.665454545454545,1.43,0.915,38.5,32.95454545454545,26.0,0.0,1.5,1.0454545454545454,1.0,41.755,3.515
2018-11-26 14:00:00+00:00,Fenway,Lyft,Lux Black XL,15.0,0.905,4.33,2.8260000000000005,1.44,0.91,45.5,36.6,26.0,0.0078,1.75,1.1,1.0,42.56,2.9
2018-11-26 15:00:00+00:00,Fenway,Lyft,Lux Black XL,8.0,0.92,4.46,3.2075,1.44,0.9,45.5,35.9375,26.0,0.0,1.0,1.0,1.0,43.705,4.0600000000000005
