Timestamp,Location,Provider,Service_Type,api_calls,clouds,distance_max,distance_mean,distance_min,humidity,price_max,price_mean,price_min,rain,surge_max,surge_mean,surge_min,temp,wind
2018-11-26 06:00:00+00:00,North Station,Uber,Black,8.0,0.9906666666666668,3.3,2.7,1.01,0.918,26.0,23.3125,15.0,0.0,1.0,1.0,1.0,40.61466666666666,1.396
2018-11-26 07:00:00+00:00,North Station,Uber,Black,3.0,0.9575,3.05,2.7266666666666666,2.12,0.925,25.0,23.0,21.0,0.0,1.0,1.0,1.0,41.1575,1.8775
2018-11-26 08:00:00+00:00,North Station,Uber,Black,,,,,,,26.25,22.772727272727273,18.0,,,,,,
2018-11-26 09:00:00+00:00,North Station,Uber,Black,11.0,1.0,3.31,2.5845454545454545,0.56,0.9275,27.5,22.545454545454547,15.0,0.0,1.0,1.0,1.0,40.8825,1.355
2018-11-26 10:00:00+00:00,North Station,Uber,Black,14.0,0.995,3.37,2.1807142857142856,0.56,0.94,27.5,21.142857142857142,15.0,0.0,1.0,1.0,1.0,40.665,1.96
2018-11-26 11:00:00+00:00,North Station,Uber,Black,16.0,0.955,3.05,1.866875,0.56,0.94,29.0,19.78125,15.0,0.0,1.0,1.0,1.0,40.2,2.385
2018-11-26 12:00:00+00:00,North Station,Uber,Black,9.0,0.94,3.37,2.112222222222222,0.56,0.94,27.0,20.666666666666668,16.0,0.0,1.0,1.0,1.0,40.28,2.915
2018-11-26 13:00:00+00:00,North Station,Uber,Black,6.0,0.91,3.05,1.9583333333333337,0.56,0.915,25.0,19.33333333333333,15.5,0.0046,1.0,1.0,1.0,41.975,3.61
2018-11-26 14:00:00+00:00,North Station,Uber,Black,10.0,0.905,3.31,1.924,0.56,0.905,28.5,20.55,15.0,0.0035,1.0,1.0,1.0,42.82,3.02
2018-11-26 15:00:00+00:00,North Station,Uber,Black,16.0,0.93,3.3,1.97,0.56,0.895,28.0,20.375,15.0,0.0,1.0,1.0,1.0,43.85,4.225
2018-11-26 16:00:00+00:00,North Station,Uber,Black,15.0,0.92,3.37,2.306,0.56,0.865,25.0,20.433333333333334,15.0,0.0,1.0,1.0,1.0,45.025,5.105
2018-11-26 17:00:00+00:00,North Station,Uber,Black,9.0,0.99,3.31,2.2088888888888887,0.56,0.86,26.0,21.11111111111111,15.0,0.0,1.0,1.0,1.0,45.485,6.34
2018-11-26 18:00:00+00:00,North Station,Uber,Black,11.0,0.98,3.42,2.171818181818182,0.56,0.88,26.5,20.181818181818183,15.0,0.0,1.0,1.0,1.0,45.06,5.16
2018-11-26 19:00:00+00:00,North Station,Uber,Black,5.0,0.94,3.3,2.564,2.17,0.835,25.0,20.8,18.5,0.0,1.0,1.0,1.0,45.795,8.309999999999999
2018-11-26 20:00:00+00:00,North Station,Uber,Black,7.0,0.93,3.37,1.977142857142857,0.56,0.835,29.5,20.785714285714285,15.0,0.0,1.0,1.0,1.0,45.08,8.785
2018-11-26 21:00:00+00:00,North Station,Uber,Black,6.0,0.96,3.3,2.341666666666667,0.56,0.855,27.0,21.75,15.0,0.00015,1.0,1.0,1.0,44.62,9.335
2018-11-26 22:00:00+00:00,North Station,Uber,Black,12.0,0.98,3.37,2.2925,0.56,0.874,26.0,20.83333333333333,15.0,0.0283399999999999,1.0,1.0,1.0,44.674,8.848
2018-11-26 23:00:00+00:00,North Station,Uber,Black,27.0,0.98,3.37,2.215185185185185,0.56,0.88,26.0,20.57407407407408,15.0,0.07295,1.0,1.0,1.0,44.405,9.655
2018-11-27 00:00:00+00:00,North Station,Uber,Black,27.0,0.9812500000000002,3.42,2.124444444444444,0.35,0.9087500000000002,28.5,20.55555555555556,15.0,0.150525,1.0,1.0,1.0,43.85625,10.3975
2018-11-27 01:00:00+00:00,North Station,Uber,Black,15.0,0.99,3.37,2.1326666666666663,0.56,0.9,28.5,20.866666666666667,15.0,0.335275,1.0,1.0,1.0,44.0975,11.7725
2018-11-27 02:00:00+00:00,North Station,Uber,Black,17.0,0.995,3.31,2.1223529411764703,0.56,0.9,28.5,20.529411764705884,15.0,0.11775,1.0,1.0,1.0,44.02,12.58
2018-11-27 03:00:00+00:00,North Station,Uber,Black,26.0,0.995,3.59,2.2388461538461533,0.56,0.895,31.5,21.90384615384616,15.0,0.20185,1.0,1.0,1.0,44.215,13.05
2018-11-27 04:00:00+00:00,North Station,Uber,Black,24.0,1.0,3.42,2.279583333333333,0.56,0.895,29.5,21.375,15.0,0.0475,1.0,1.0,1.0,44.835,16.145
2018-11-27 05:00:00+00:00,North Station,Uber,Black,19.0,1.0,3.3,2.006842105263158,0.56,0.9,26.0,19.92105263157895,15.0,0.0487666666666666,1.0,1.0,1.0,44.01333333333334,14.293333333333337
