Timestamp,Location,Provider,Service_Type,api_calls,clouds,distance_max,distance_mean,distance_min,humidity,price_max,price_mean,price_min,rain,surge_max,surge_mean,surge_min,temp,wind
2018-11-26 06:00:00+00:00,South Station,Lyft,Lux Black XL,11.0,0.9906666666666668,2.46,1.5563636363636364,0.62,0.888,55.0,32.77272727272727,26.0,0.0,1.5,1.0909090909090908,1.0,41.636,1.4266666666666663
2018-11-26 07:00:00+00:00,South Station,Lyft,Lux Black XL,3.0,0.955,2.48,1.5833333333333333,1.1,0.8925000000000001,30.0,27.33333333333333,26.0,0.0,1.0,1.0,1.0,42.3,1.8975
2018-11-26 08:00:00+00:00,South Station,Lyft,Lux Black XL,1.0,0.98,1.69,1.69,1.69,0.89,27.5,27.5,27.5,0.0,1.0,1.0,1.0,42.03666666666667,1.33
2018-11-26 09:00:00+00:00,South Station,Lyft,Lux Black XL,6.0,1.0,2.54,1.495,0.67,0.8975,32.5,28.08333333333333,26.0,0.0,1.0,1.0,1.0,41.8975,1.2075
2018-11-26 10:00:00+00:00,South Station,Lyft,Lux Black XL,11.0,0.995,2.6,1.6954545454545455,0.62,0.94,38.5,30.0,26.0,0.0,1.25,1.0227272727272727,1.0,40.56,1.865
2018-11-26 11:00:00+00:00,South Station,Lyft,Lux Black XL,10.0,0.955,3.18,1.851,0.57,0.97,52.5,31.45,26.0,0.0,1.5,1.05,1.0,38.73,2.4
2018-11-26 12:00:00+00:00,South Station,Lyft,Lux Black XL,14.0,0.94,3.28,1.612857142857143,0.52,0.89,38.5,28.75,26.0,0.0,1.25,1.0178571428571428,1.0,41.755,2.895
2018-11-26 13:00:00+00:00,South Station,Lyft,Lux Black XL,7.0,0.905,3.22,1.7128571428571429,0.57,0.91,38.0,30.857142857142858,27.5,0.00375,1.0,1.0,1.0,41.985,3.555
2018-11-26 14:00:00+00:00,South Station,Lyft,Lux Black XL,9.0,0.905,3.34,1.844444444444444,0.56,0.915,38.5,30.05555555555556,26.0,0.00255,1.0,1.0,1.0,42.64,3.015
2018-11-26 15:00:00+00:00,South Station,Lyft,Lux Black XL,6.0,0.93,2.54,1.9183333333333328,0.63,0.895,34.0,30.5,27.5,0.0,1.25,1.0416666666666667,1.0,43.915,4.27
2018-11-26 16:00:00+00:00,South Station,Lyft,Lux Black XL,12.0,0.92,3.35,1.3316666666666668,0.56,0.86,45.5,30.875,26.0,0.0,1.5,1.1041666666666667,1.0,45.260000000000005,5.18
2018-11-26 17:00:00+00:00,South Station,Lyft,Lux Black XL,13.0,0.99,3.24,1.5746153846153843,0.52,0.85,42.5,31.26923076923077,26.0,0.0,1.25,1.0769230769230769,1.0,45.59,6.385
2018-11-26 18:00:00+00:00,South Station,Lyft,Lux Black XL,10.0,0.985,2.56,1.628,0.57,0.875,32.5,28.7,26.0,0.0,1.25,1.025,1.0,45.33,5.12
2018-11-26 19:00:00+00:00,South Station,Lyft,Lux Black XL,12.0,0.94,2.62,2.084166666666667,1.07,0.815,34.0,30.541666666666668,27.5,0.0,1.0,1.0,1.0,46.47,8.3
2018-11-26 20:00:00+00:00,South Station,Lyft,Lux Black XL,15.0,0.925,2.62,1.4973333333333332,0.53,0.815,38.5,30.366666666666667,26.0,0.0,1.25,1.0333333333333334,1.0,45.765,8.815
2018-11-26 21:00:00+00:00,South Station,Lyft,Lux Black XL,8.0,0.955,2.53,1.44375,0.57,0.83,32.5,28.0,26.0,0.0015,1.0,1.0,1.0,45.255,9.44
2018-11-26 22:00:00+00:00,South Station,Lyft,Lux Black XL,16.0,0.98,2.65,1.605625,0.53,0.8459999999999999,38.5,29.8125,26.0,0.01898,1.0,1.0,1.0,45.39,8.954000000000002
2018-11-26 23:00:00+00:00,South Station,Lyft,Lux Black XL,22.0,0.98,3.29,1.6759090909090908,0.56,0.855,38.5,29.90909090909091,26.0,0.0716,1.5,1.0227272727272727,1.0,45.3,9.73
2018-11-27 00:00:00+00:00,South Station,Lyft,Lux Black XL,26.0,0.9812500000000002,3.28,1.5423076923076922,0.54,0.8775,47.5,29.365384615384617,26.0,0.1577125,1.75,1.0288461538461535,1.0,44.7475,10.43125
2018-11-27 01:00:00+00:00,South Station,Lyft,Lux Black XL,16.0,0.9925,3.27,1.70875,0.57,0.885,34.0,28.9375,26.0,0.337075,1.0,1.0,1.0,44.6925,11.5725
2018-11-27 02:00:00+00:00,South Station,Lyft,Lux Black XL,18.0,0.995,3.22,1.9338888888888883,0.61,0.895,34.0,29.05555555555556,26.0,0.12435,1.0,1.0,1.0,44.23,12.695
2018-11-27 03:00:00+00:00,South Station,Lyft,Lux Black XL,21.0,0.995,3.37,2.2542857142857144,0.6,0.88,42.5,31.80952380952381,26.0,0.1802,1.25,1.011904761904762,1.0,44.86,14.2
2018-11-27 04:00:00+00:00,South Station,Lyft,Lux Black XL,28.0,1.0,3.23,1.5582142857142858,0.52,0.895,38.5,29.303571428571427,26.0,0.0419999999999999,1.0,1.0,1.0,44.17,13.954999999999998
2018-11-27 05:00:00+00:00,South Station,Lyft,Lux Black XL,24.0,1.0,3.28,1.8325000000000005,0.57,0.8833333333333333,42.5,31.604166666666668,26.0,0.0272666666666666,1.25,1.03125,1.0,44.45666666666667,14.336666666666668
2018-11-27 06:00:00+00:00,South Station,Lyft,Lux Black XL,24.0,1.0,3.31,1.79125,0.53,0.905,38.0,29.14583333333333,26.0,0.0185,1.0,1.0,1.0,43.63,10.455
2018-11-27 07:00:00+00:00,South Station,Lyft,Lux Black XL,13.0,1.0,3.29,1.987692307692308,0.57,0.9,57.5,32.5,26.0,0.01,2.0,1.0769230769230769,1.0,44.235,11.715
2018-11-27 08:00:00+00:00,South Station,Lyft,Lux Black XL,18.0,1.0,2.58,1.686666666666667,0.59,0.92,47.5,30.416666666666668,26.0,0.00765,1.75,1.0555555555555556,1.0,43.805,9.46
2018-11-27 09:00:00+00:00,South Station,Lyft,Lux Black XL,22.0,1.0,3.29,1.935454545454545,0.57,0.93,45.5,30.977272727272727,26.0,0.012,1.5,1.0340909090909092,1.0,45.120000000000005,9.395
2018-11-27 10:00:00+00:00,South Station,Lyft,Lux Black XL,18.0,0.99,2.63,1.3844444444444446,0.53,0.93,45.5,30.55555555555556,26.0,0.01735,1.75,1.0555555555555556,1.0,45.73,6.295
2018-11-27 11:00:00+00:00,South Station,Lyft,Lux Black XL,15.0,0.995,3.25,1.7726666666666668,0.58,0.93,38.5,29.433333333333334,26.0,0.0,1.0,1.0,1.0,45.425,2.255
