date,value
1980-01,7301.0
1980-02,13980.0
1980-03,13471.0
1980-04,11444.0
1980-05,10725.0
1980-06,9074.0
1980-07,10211.0
1980-08,11156.0
1980-09,10686.0
1980-10,13096.0
1980-11,12801.0
1980-12,6391.0
1981-01,7725.0
1981-02,11696.0
1981-03,13941.0
1981-04,10761.0
1981-05,11776.0
1981-06,9350.0
1981-07,11324.0
1981-08,12724.0
1981-09,11976.0
1981-10,15352.0
1981-11,13840.0
1981-12,6956.0
1982-01,8897.0
1982-02,13365.0
1982-03,14709.0
1982-04,11167.0
1982-05,12428.0
1982-06,10461.0
1982-07,13508.0
1982-08,12164.0
1982-09,11306.0
1982-10,14472.0
1982-11,13994.0
1982-12,6182.0
1983-01,9385.0
1983-02,13375.0
1983-03,11781.0
1983-04,11490.0
1983-05,11881.0
1983-06,9560.0
1983-07,11298.0
1983-08,15369.0
1983-09,11772.0
1983-10,13978.0
1983-11,13746.0
1983-12,6899.0
1984-01,8920.0
1984-02,15137.0
1984-03,14827.0
1984-04,12290.0
1984-05,14626.0
1984-06,12849.0
1984-07,12015.0
1984-08,12977.0
1984-09,14282.0
1984-10,17567.0
1984-11,16270.0
1984-12,7862.0
1985-01,9676.0
1985-02,15177.0
1985-03,17664.0
1985-04,14335.0
1985-05,16385.0
1985-06,13028.0
1985-07,13390.0
1985-08,15158.0
1985-09,15311.0
1985-10,19557.0
1985-11,19601.0
1985-12,8963.0
1986-01,10788.0
1986-02,18391.0
1986-03,17531.0
1986-04,19245.0
1986-05,16177.0
1986-06,14683.0
1986-07,13702.0
1986-08,16843.0
1986-09,15599.0
1986-10,19251.0
1986-11,23455.0
1986-12,10605.0
1987-01,13263.0
1987-02,18660.0
1987-03,20030.0
1987-04,16678.0
1987-05,19573.0
1987-06,17135.0
1987-07,18476.0
1987-08,20565.0
1987-09,20805.0
1987-10,23870.0
1987-11,24175.0
1987-12,13408.0
1988-01,17055.0
1988-02,23982.0
1988-03,22962.0
1988-04,24907.0
1988-05,26246.0
1988-06,19743.0
1988-07,24846.0
1988-08,28261.0
1988-09,26382.0
1988-10,28246.0
1988-11,33685.0
1988-12,14910.0
1989-01,16635.0
1989-02,23851.0
1989-03,23366.0
1989-04,23951.0
1989-05,19857.0
1989-06,19644.0
1989-07,20938.0
1989-08,19818.0
1989-09,23254.0
1989-10,24686.0
1989-11,26507.0
1989-12,13806.0
1990-01,16789.0
1990-02,24140.0
1990-03,27858.0
1990-04,21054.0
1990-05,21191.0
1990-06,19510.0
1990-07,20493.0
1990-08,24081.0
1990-09,23574.0
1990-10,25224.0
1990-11,26483.0
1990-12,13233.0
1991-01,15346.0
1991-02,21943.0
1991-03,20617.0
1991-04,23010.0
1991-05,20648.0
1991-06,29083.0
1991-07,21664.0
1991-08,21078.0
1991-09,21516.0
1991-10,25907.0
1991-11,28107.0
1991-12,15625.0
1992-01,15272.0
1992-02,24640.0
1992-03,27451.0
1992-04,21408.0
1992-05,24767.0
1992-06,19220.0
1992-07,21648.0
1992-08,22839.0
1992-09,23186.0
1992-10,25190.0
1992-11,28581.0
1992-12,14402.0
1993-01,17132.0
1993-02,26691.0
1993-03,28548.0
1993-04,25272.0
1993-05,33463.0
1993-06,21928.0
1993-07,24703.0
1993-08,25146.0
1993-09,29530.0
1993-10,32267.0
1993-11,35442.0
1993-12,18459.0
1994-01,21448.0
1994-02,33050.0
1994-03,36906.0
1994-04,33285.0
1994-05,31628.0
1994-06,28925.0
1994-07,32418.0
1994-08,30052.0
1994-09,36572.0
1994-10,40585.0
1994-11,40766.0
1994-12,21223.0
1995-01,24212.0
1995-02,37687.0
1995-03,41191.0
1995-04,32407.0
1995-05,36761.0
1995-06,31868.0
1995-07,43256.0
1995-08,48227.0
1995-09,38285.0
1995-10,45885.0
1995-11,45772.0
1995-12,25225.0
1996-01,31457.0
1996-02,39958.0
1996-03,46758.0
1996-04,45016.0
1996-05,39850.0
1996-06,41431.0
1996-07,42706.0
1996-08,41545.0
1996-09,44662.0
1996-10,50504.0
1996-11,52501.0
1996-12,28513.0
1997-01,34117.0
1997-02,44726.0
1997-03,48114.0
1997-04,46754.0
1997-05,47813.0
1997-06,47611.0
1997-07,47898.0
1997-08,44657.0
1997-09,48397.0
1997-10,51136.0
1997-11,55843.0
1997-12,31700.0
1998-01,35002.0
1998-02,47203.0
1998-03,53339.0
1998-04,43028.0
1998-05,48257.0
1998-06,39648.0
1998-07,43325.0
1998-08,41485.0
1998-09,39724.0
1998-10,56814.0
1998-11,53630.0
1998-12,30579.0
1999-01,36424.0
1999-02,45574.0
1999-03,49414.0
1999-04,48156.0
1999-05,51816.0
1999-06,38781.0
1999-07,46344.0
1999-08,47248.0
1999-09,48029.0
1999-10,50063.0
1999-11,55629.0
1999-12,30571.0
2000-01,36120.0
2000-02,50121.0
2000-03,55779.0
2000-04,49411.0
2000-05,56266.0
2000-06,49563.0
2000-07,55876.0
2000-08,48676.0
2000-09,54313.0
2000-10,63183.0
2000-11,64074.0
2000-12,37181.0
2001-01,37757.0
2001-02,52296.0
2001-03,55554.0
2001-04,48213.0
2001-05,51942.0
2001-06,42079.0
2001-07,51819.0
2001-08,47087.0
2001-09,47484.0
2001-10,52610.0
2001-11,48763.0
2001-12,34546.0
2002-01,35287.0
2002-02,46355.0
2002-03,49032.0
2002-04,55864.0
2002-05,54313.0
2002-06,40664.0
2002-07,50432.0
2002-08,43493.0
2002-09,49744.0
2002-10,56404.0
2002-11,56729.0
2002-12,34047.0
2003-01,37914.0
2003-02,50150.0
2003-03,51784.0
2003-04,35505.0
2003-05,48722.0
2003-06,40764.0
2003-07,53877.0
2003-08,53130.0
2003-09,58679.0
2003-10,57604.0
2003-11,63051.0
2003-12,38875.0
2004-01,36804.0
2004-02,60283.0
2004-03,62128.0
2004-04,45903.0
2004-05,57379.0
2004-06,48053.0
2004-07,52964.0
2004-08,59314.0
2004-09,56498.0
2004-10,60377.0
2004-11,67685.0
2004-12,38153.0
2005-01,47813.0
2005-02,58487.0
2005-03,62064.0
2005-04,58753.0
2005-05,64260.0
2005-06,53071.0
2005-07,63836.0
2005-08,71134.0
2005-09,64977.0
2005-10,68367.0
2005-11,80719.0
2005-12,42329.0
2006-01,50932.0
2006-02,67593.0
2006-03,69395.0
2006-04,58902.0
2006-05,65497.0
2006-06,62174.0
2006-07,72577.0
2006-08,71292.0
2006-09,68593.0
2006-10,76815.0
2006-11,76319.0
2006-12,46442.0
2007-01,58688.0
2007-02,65547.0
2007-03,86507.0
2007-04,66134.0
2007-05,69628.0
2007-06,65578.0
