date,value
1980-01,2920.0
1980-05,1211.0
1980-09,1394.0
1981-01,3509.0
1981-05,3131.0
1981-09,985.0
1982-01,1593.0
1982-05,3717.0
1982-09,3030.0
1983-01,1278.0
1983-05,1543.0
1983-09,3345.0
1984-01,2659.0
1984-05,963.0
1984-09,1389.0
1985-01,2904.0
1985-05,2450.0
1985-09,935.0
1986-01,1447.0
1986-05,3265.0
1986-09,2591.0
1987-01,797.0
1987-05,1422.0
1987-09,3317.0
1988-01,2570.0
1988-05,743.0
1988-09,1654.0
1989-01,3554.0
1989-05,3235.0
1989-09,1143.0
1990-01,1727.0
1990-05,4265.0
1990-09,4338.0
1991-01,1087.0
1991-05,2220.0
1991-09,4338.0
1992-01,3576.0
1992-05,1646.0
1992-09,2310.0
1993-01,4242.0
1993-05,3077.0
1993-09,1768.0
1994-01,2320.0
1994-05,3148.0
1994-09,2556.0
1995-01,1198.0
1995-05,1901.0
1995-09,4020.0
1996-01,3215.0
1996-05,1803.0
1996-09,1852.0
1997-01,4070.0
1997-05,3691.0
1997-09,2005.0
1998-01,2534.0
1998-05,4307.0
1998-09,4580.0
1999-01,1945.0
1999-05,3451.0
1999-09,6597.0
2000-01,6124.0
2000-05,3181.0
2000-09,3300.0
2001-01,6908.0
2001-05,5638.0
2001-09,3296.0
2002-01,3766.0
2002-05,6251.0
2002-09,6359.0
2003-01,2746.0
2003-05,4236.0
2003-09,7754.0
2004-01,6127.0
2004-05,3103.0
2004-09,3511.0
2005-01,6512.0
2005-05,5704.0
2005-09,2856.0
2006-01,3627.0
2006-05,7015.0
2006-09,6128.0
2007-01,3342.0
2007-05,4418.0
2007-09,7044.0
2008-01,6382.0
2008-05,3313.0
2008-09,3710.0
2009-01,5437.0
2009-05,5320.0
2009-09,1929.0
2010-01,2783.0
2010-05,5917.0
2010-09,4606.0
2011-01,2497.0
2011-05,3930.0
2011-09,6314.0
2012-01,5069.0
2012-05,2822.0
2012-09,3847.0
2013-01,6655.0
2013-05,6351.0
2013-09,3012.0
2014-01,4413.0
2014-05,6313.0
2014-09,5451.0
2015-01,3394.0
2015-05,4230.0
2015-09,6702.0
2016-01,6188.0
2016-05,2971.0
