date,value
1973,86060.0
1974,105429.0
1975,127112.0
1976,157360.0
1977,154849.0
1978,160004.0
1979,139236.0
1980,166170.0
1981,201793.0
1982,216486.0
1983,228107.0
1984,278071.0
1985,275494.0
1986,276390.0
1987,253849.0
1988,259163.0
1989,259025.0
1990,255294.0
1991,235064.0
1992,261182.0
1993,264722.0
1994,267158.0
1995,280080.0
1996,310597.0
1997,293974.0
1998,272454.0
1999,281151.0
2000,352409.0
2001,324156.0
2002,343294.0
2003,254254.0
2004,408940.0
2005,525577.0
2006,563933.0
2007,633599.0
