series_id,date,value
T1,1979-01,3592.55
T1,1979-05,6409.3403
T1,1979-09,10953.4928
T1,1980-01,4136.8453
T1,1980-05,3369.46
T1,1980-09,5446.2505
T1,1981-01,11832.9628
T1,1981-05,3622.8401
T1,1981-09,2975.8804
T1,1982-01,5835.0349
T1,1982-05,12658.7829
T1,1982-09,4359.2901
T1,1983-01,3524.19
T1,1983-05,6689.8699
T1,1983-09,12929.0845
T1,1984-01,4554.3603
T1,1984-05,3688.7451
T1,1984-09,6694.7952
T1,1985-01,12861.1967
T1,1985-05,4711.4906
T1,1985-09,3799.5053
T1,1986-01,7468.7552
T1,1986-05,13575.0764
T1,1986-09,5081.0952
T1,1987-01,3930.6853
T1,1987-05,7299.0004
T1,1987-09,13721.4012
T1,1988-01,5265.7452
T1,1988-05,4317.45
T1,1988-09,7579.5852
T1,1989-01,15061.6469
T1,1989-05,5654.8147
T1,1989-09,4576.86
T1,1990-01,8845.9037
T1,1990-05,16198.3437
T1,1990-09,6432.06
T1,1991-01,5432.7697
T1,1991-05,8864.131
T1,1991-09,17327.6031
T1,1992-01,6848.2494
T1,1992-05,5658.6251
T1,1992-09,8778.2622
T1,1993-01,17154.7721
T1,1993-05,6829.2346
T1,1993-09,5438.6099
T1,1994-01,8741.323
T1,1994-05,15704.7096
T1,1994-09,6670.9731
T1,1995-01,5117.5793
T1,1995-05,8526.838
T1,1995-09,16595.3848
T1,1996-01,7145.835
T1,1996-05,5465.9154
T1,1996-09,9303.35
T1,1997-01,16747.1845
T1,1997-05,6915.52
T1,1997-09,5696.01
T1,1998-01,9507.025
T1,1998-05,17469.63
T1,1998-09,7672.665
T1,1999-01,6407.285
T1,1999-05,10330.3
T1,1999-09,6995.05
T2,1979-01,172137.16
T2,1979-05,207720.03
T2,1979-09,312830.05
T2,1980-01,195209.27
T2,1980-05,153662.0
T2,1980-09,203812.96
T2,1981-01,327819.48
T2,1981-05,201774.54
T2,1981-09,164833.79
T2,1982-01,210252.73
T2,1982-05,365329.9
T2,1982-09,231132.62
T2,1983-01,183341.27
T2,1983-05,245359.41
T2,1983-09,395632.5
T2,1984-01,239873.21
T2,1984-05,207111.38
T2,1984-09,273082.32
T2,1985-01,440175.2
T2,1985-05,275192.04
T2,1985-09,218010.95
T2,1986-01,317881.66
T2,1986-05,491747.8
T2,1986-09,324293.14
T2,1987-01,240547.06
T2,1987-05,316376.3
T2,1987-09,503022.1
T2,1988-01,312877.9
T2,1988-05,261187.6
T2,1988-09,364241.9
T2,1989-01,550268.5
T2,1989-05,356835.61
T2,1989-09,285757.55
T2,1990-01,387975.5
T2,1990-05,578709.3
T2,1990-09,335318.27
T2,1991-01,309795.8
T2,1991-05,387748.7
T2,1991-09,576033.7
T2,1992-01,344159.65
T2,1992-05,300421.0
T2,1992-09,374895.0
T2,1993-01,516086.0
T2,1993-05,308229.11
T2,1993-09,281031.68
T2,1994-01,320256.5
T2,1994-05,458326.4
T2,1994-09,311722.56
T2,1995-01,247941.03
T2,1995-05,308605.74
T2,1995-09,487843.4
T2,1996-01,326568.18
T2,1996-05,269902.06
T2,1996-09,343546.41
T2,1997-01,511731.1
T2,1997-05,348666.69
T2,1997-09,289378.83
T2,1998-01,361884.6
T2,1998-05,540909.5
T2,1998-09,386096.5
T2,1999-01,304618.082
T2,1999-05,417078.1932
T2,1999-09,199405.116
T3,1985-01,120977.0
T3,1985-05,162468.0
T3,1985-09,159797.0
T3,1986-01,194926.0
T3,1986-05,131853.0
T3,1986-09,173985.0
T3,1987-01,177365.0
T3,1987-05,221225.0
T3,1987-09,150553.0
T3,1988-01,202923.0
T3,1988-05,204837.0
T3,1988-09,235028.0
T3,1989-01,151900.0
T3,1989-05,189547.0
T3,1989-09,183172.0
T3,1990-01,224625.0
T3,1990-05,155331.0
T3,1990-09,174698.0
T3,1991-01,125080.0
T3,1991-05,169291.0
T3,1991-09,136107.0
T3,1992-01,150228.0
T3,1992-05,149489.0
T3,1992-09,176438.0
T3,1993-01,119443.0
T3,1993-05,153444.0
T3,1993-09,156774.0
T3,1994-01,190024.0
T3,1994-05,147529.0
T3,1994-09,176937.0
T3,1995-01,165748.0
T3,1995-05,204076.0
T3,1995-09,165372.0
T3,1996-01,191951.0
T3,1996-05,181667.0
T3,1996-09,216676.0
T3,1997-01,182641.0
T3,1997-05,201219.0
T3,1997-09,177967.0
T3,1998-01,214212.0
T3,1998-05,176315.0
T3,1998-09,191090.0
T3,1999-01,175549.0
T3,1999-05,205957.0
T3,1999-09,207805.0
T3,2000-01,203431.0
T3,2000-05,192112.0
T3,2000-09,229377.0
T3,2001-01,233925.0
T3,2001-05,237906.0
T3,2001-09,172977.0
T3,2002-01,216409.0
T3,2002-05,187515.0
T3,2002-09,215019.0
T3,2003-01,185024.0
T3,2003-05,240768.0
T3,2003-09,196466.0
T3,2004-01,215203.0
T3,2004-05,199992.0
T3,2004-09,247264.0
T3,2005-01,209375.0
T3,2005-05,250313.0
T3,2005-09,227018.0
T3,2006-01,279302.0
T3,2006-05,227834.0
T3,2006-09,262939.0
T3,2007-01,221417.0
T3,2007-05,223527.0
T3,2007-09,228216.0
T3,2008-01,259987.0
T3,2008-05,232257.0
T3,2008-09,280384.0
T3,2009-01,212578.0
T3,2009-05,42304.0
T3,2009-09,188983.0
T3,2010-01,239926.0
T3,2010-05,219281.0
T3,2010-09,263012.0
T3,2011-01,263708.0
T3,2011-05,305695.0
T3,2011-09,260754.0
T3,2012-01,293599.0
T3,2012-05,274916.0
T3,2012-09,313820.0
T3,2013-01,264012.0
T3,2013-05,300244.0
T3,2013-09,276400.0
T3,2014-01,318369.0
T4,1985-01,23717.0
T4,1985-05,27405.0
T4,1985-09,26623.0
T4,1986-01,35800.0
T4,1986-05,29186.0
T4,1986-09,27636.0
T4,1987-01,28029.0
T4,1987-05,42885.0
T4,1987-09,37829.0
T4,1988-01,34576.0
T4,1988-05,34500.0
T4,1988-09,49496.0
T4,1989-01,42957.0
T4,1989-05,37692.0
T4,1989-09,33788.0
T4,1990-01,51587.0
T4,1990-05,44022.0
T4,1990-09,34481.0
T4,1991-01,26715.0
T4,1991-05,45291.0
T4,1991-09,41395.0
T4,1992-01,34736.0
T4,1992-05,30904.0
T4,1992-09,48660.0
T4,1993-01,37443.0
T4,1993-05,35431.0
T4,1993-09,34267.0
T4,1994-01,54643.0
T4,1994-05,46785.0
T4,1994-09,39866.0
T4,1995-01,37804.0
T4,1995-05,55776.0
T4,1995-09,47147.0
T4,1996-01,42216.0
T4,1996-05,41586.0
T4,1996-09,58483.0
T4,1997-01,48754.0
T4,1997-05,43567.0
T4,1997-09,39540.0
T4,1998-01,53429.0
T4,1998-05,44215.0
T4,1998-09,40715.0
T4,1999-01,39324.0
T4,1999-05,50402.0
T4,1999-09,55179.0
T4,2000-01,44490.0
T4,2000-05,41147.0
T4,2000-09,45112.0
T4,2001-01,49299.0
T4,2001-05,48067.0
T4,2001-09,39217.0
T4,2002-01,55763.0
T4,2002-05,49821.0
T4,2002-09,47364.0
T4,2003-01,45265.0
T4,2003-05,65951.0
T4,2003-09,54780.0
T4,2004-01,51409.0
T4,2004-05,50195.0
T4,2004-09,69801.0
T4,2005-01,60055.0
T4,2005-05,58651.0
T4,2005-09,57461.0
T4,2006-01,76928.0
T4,2006-05,67763.0
T4,2006-09,59102.0
T4,2007-01,54021.0
T4,2007-05,68821.0
