series_id,date,value
T1,1979,25092.2284
T1,1980,24271.5134
T1,1981,25828.9883
T1,1982,27697.5047
T1,1983,27956.2276
T1,1984,29924.4321
T1,1985,30216.8321
T1,1986,32613.4968
T1,1987,36053.1674
T1,1988,38472.7532
T1,1989,38420.894
T1,1990,36555.6156
T1,1991,37385.6371
T1,1992,38431.9699
T1,1993,40345.33
T2,1979,887896.51
T2,1980,887068.98
T2,1981,971549.04
T2,1982,1064206.39
T2,1983,1195560.94
T2,1984,1351933.55
T2,1985,1372823.36
T2,1986,1532533.61
T2,1987,1587760.62
T2,1988,1617737.85
T2,1989,1499631.11
T2,1990,1371337.14
T2,1991,1370958.35
T2,1992,1473846.26
T2,1993,1578269.43
T3,1973,227921.0
T3,1974,230995.0
T3,1975,183635.0
T3,1976,238605.0
T3,1977,254186.0
T3,1978,284642.0
T3,1979,303583.0
T3,1980,346910.0
T3,1981,372133.0
T3,1982,377853.0
T3,1983,451566.0
T3,1984,562764.0
T3,1985,638168.0
T3,1986,704428.0
T3,1987,793341.0
T3,1988,749244.0
T3,1989,624400.0
T3,1990,612262.0
T3,1991,619685.0
T3,1992,694290.0
T3,1993,755666.0
T3,1994,776039.0
T3,1995,748911.0
T3,1996,751275.0
T3,1997,800539.0
T3,1998,773309.0
T3,1999,802705.0
T3,2000,966008.0
T3,2001,935717.0
T3,2002,1000844.0
T3,2003,683791.0
T3,2004,1051696.0
T3,2005,1143089.0
T3,2006,1159025.0
T3,2007,1230927.0
T4,1973,18441.0
T4,1974,21934.0
T4,1975,23739.0
T4,1976,34087.0
T4,1977,40817.0
T4,1978,46489.0
T4,1979,50226.0
T4,1980,56352.0
T4,1981,64455.0
T4,1982,61413.0
T4,1983,73672.0
T4,1984,94177.0
T4,1985,113545.0
T4,1986,127736.0
T4,1987,156401.0
T4,1988,166024.0
T4,1989,150509.0
T4,1990,155695.0
T4,1991,161784.0
T4,1992,180231.0
T4,1993,189432.0
T4,1994,185290.0
T4,1995,174656.0
T4,1996,165887.0
T4,1997,178046.0
T4,1998,194351.0
T4,1999,210899.0
T4,2000,253095.0
T4,2001,249707.0
T4,2002,264967.0
T4,2003,186809.0
T4,2004,273925.0
T4,2005,308842.0
T4,2006,335697.0
T4,2007,395167.0
T5,1973,27186.0
T5,1974,27921.0
T5,1975,32385.0
T5,1976,38746.0
T5,1977,41356.0
T5,1978,51851.0
T5,1979,58426.0
T5,1980,61869.0
T5,1981,62926.0
T5,1982,58170.0
T5,1983,62941.0
T5,1984,71411.0
T5,1985,79687.0
T5,1986,90608.0
T5,1987,109203.0
T5,1988,123737.0
T5,1989,118919.0
T5,1990,118556.0
T5,1991,136967.0
T5,1992,172200.0
T5,1993,219706.0
T5,1994,236384.0
T5,1995,249266.0
T5,1996,275892.0
T5,1997,235006.0
T5,1998,170716.0
T5,1999,172166.0
T5,2000,193837.0
T5,2001,173359.0
T5,2002,172654.0
T5,2003,116966.0
T5,2004,169661.0
T5,2005,204625.0
T5,2006,213837.0
T5,2007,234763.0
T6,1973,43595.0
T6,1974,43032.0
T6,1975,47474.0
T6,1976,55141.0
T6,1977,62946.0
T6,1978,66920.0
T6,1979,77191.0
T6,1980,89661.0
T6,1981,101373.0
T6,1982,123904.0
T6,1983,149453.0
T6,1984,168672.0
T6,1985,200977.0
T6,1986,192985.0
T6,1987,205667.0
T6,1988,187450.0
T6,1989,165613.0
T6,1990,200871.0
T6,1991,229394.0
T6,1992,283229.0
T6,1993,289717.0
T6,1994,270585.0
T6,1995,279514.0
T6,1996,349768.0
T6,1997,339689.0
T6,1998,331610.0
T6,1999,351175.0
T6,2000,450569.0
T6,2001,360581.0
T6,2002,379965.0
T6,2003,281318.0
T6,2004,411287.0
T6,2005,464601.0
T6,2006,516495.0
T6,2007,601168.0
T7,1973,86060.0
T7,1974,105429.0
T7,1975,127112.0
T7,1976,157360.0
T7,1977,154849.0
T7,1978,160004.0
T7,1979,139236.0
T7,1980,166170.0
T7,1981,201793.0
T7,1982,216486.0
T7,1983,228107.0
T7,1984,278071.0
T7,1985,275494.0
T7,1986,276390.0
T7,1987,253849.0
T7,1988,259163.0
T7,1989,259025.0
T7,1990,255294.0
T7,1991,235064.0
T7,1992,261182.0
T7,1993,264722.0
T7,1994,267158.0
T7,1995,280080.0
T7,1996,310597.0
T7,1997,293974.0
T7,1998,272454.0
T7,1999,281151.0
T7,2000,352409.0
T7,2001,324156.0
T7,2002,343294.0
T7,2003,254254.0
T7,2004,408940.0
T7,2005,525577.0
T7,2006,563933.0
T7,2007,633599.0
T8,1973,486677.0
T8,1974,423098.0
T8,1975,382740.0
T8,1976,437931.0
T8,1977,485495.0
