Timestamp,Location,Provider,Service_Type,api_calls,clouds,distance_max,distance_mean,distance_min,humidity,price_max,price_mean,price_min,rain,surge_max,surge_mean,surge_min,temp,wind
2018-11-26 06:00:00+00:00,Back Bay,Uber,Black SUV,4.0,0.9906666666666668,3.4,2.3525,1.34,0.9133333333333334,35.5,31.125,26.5,0.0,1.0,1.0,1.0,40.62733333333335,1.3506666666666665
2018-11-26 07:00:00+00:00,Back Bay,Uber,Black SUV,10.0,0.97,3.17,2.338,1.1,0.92,35.0,30.75,23.0,0.0,1.0,1.0,1.0,41.1375,1.735
2018-11-26 08:00:00+00:00,Back Bay,Uber,Black SUV,3.0,0.98,1.41,1.3233333333333333,1.22,0.9233333333333332,26.5,24.166666666666668,23.0,0.0,1.0,1.0,1.0,40.92,1.33
2018-11-26 09:00:00+00:00,Back Bay,Uber,Black SUV,15.0,1.0,6.26,1.9546666666666668,1.08,0.9275,43.0,28.666666666666668,23.0,0.0,1.0,1.0,1.0,40.9375,1.365
2018-11-26 10:00:00+00:00,Back Bay,Uber,Black SUV,9.0,0.995,6.26,2.276666666666667,1.08,0.94,39.5,29.5,23.0,0.0,1.0,1.0,1.0,40.695,1.895
2018-11-26 11:00:00+00:00,Back Bay,Uber,Black SUV,10.0,0.955,3.16,2.164,1.34,0.94,39.5,31.5,26.0,0.0,1.0,1.0,1.0,40.185,2.26
2018-11-26 12:00:00+00:00,Back Bay,Uber,Black SUV,9.0,0.92,7.34,2.562222222222222,1.34,0.935,44.0,31.166666666666668,23.0,0.0,1.0,1.0,1.0,40.315,2.94
2018-11-26 13:00:00+00:00,Back Bay,Uber,Black SUV,14.0,0.91,6.26,2.2971428571428567,1.22,0.91,45.0,28.464285714285715,23.0,0.0031,1.0,1.0,1.0,41.95,3.545
2018-11-26 14:00:00+00:00,Back Bay,Uber,Black SUV,9.0,0.905,3.45,1.6288888888888886,1.34,0.91,29.5,25.33333333333333,23.0,0.0044,1.0,1.0,1.0,42.765,2.96
2018-11-26 15:00:00+00:00,Back Bay,Uber,Black SUV,14.0,0.925,3.45,2.12,1.08,0.895,39.5,30.75,26.0,0.0,1.0,1.0,1.0,43.760000000000005,4.1450000000000005
